numero_pedido,fecha_pedido,fecha_inventario,clave_producto,clave_cliente,clave_territorio,cantidad_pedido
SO61320,02/01/2017,01/11/2003,478,28943,9,1
SO61320,02/01/2017,29/10/2003,214,28943,9,3
SO61362,02/01/2017,13/09/2003,480,13648,9,2
SO61362,02/01/2017,28/09/2003,358,13648,9,1
SO61342,02/01/2017,27/09/2003,528,12497,8,1
SO61342,02/01/2017,08/09/2003,480,12497,8,3
SO61342,02/01/2017,19/10/2003,537,12497,8,2
SO61358,02/01/2017,24/11/2003,485,14456,1,2
SO61358,02/01/2017,23/11/2003,354,14456,1,1
SO61358,02/01/2017,14/09/2003,472,14456,1,3
SO61369,02/01/2017,22/10/2003,565,29084,9,1
SO61319,02/01/2017,21/10/2003,529,20262,9,1
SO61319,02/01/2017,07/09/2003,480,20262,9,3
SO61319,02/01/2017,09/12/2003,538,20262,9,2
SO61364,02/01/2017,10/09/2003,223,24684,1,2
SO61364,02/01/2017,05/12/2003,562,24684,1,1
SO61359,02/01/2017,26/09/2003,354,14420,1,1
SO61343,02/01/2017,07/10/2003,464,22672,10,1
SO61343,02/01/2017,09/12/2003,477,22672,10,2
SO61333,02/01/2017,15/11/2003,536,11091,6,2
SO61333,02/01/2017,12/10/2003,528,11091,6,1
SO61316,02/01/2017,12/09/2003,536,21187,9,1
SO61316,02/01/2017,07/12/2003,480,21187,9,2
SO61313,02/01/2017,19/10/2003,223,11427,8,2
SO61313,02/01/2017,05/12/2003,220,11427,8,3
SO61313,02/01/2017,28/10/2003,583,11427,8,1
SO61328,02/01/2017,09/10/2003,490,11684,1,1
SO61330,02/01/2017,06/10/2003,529,24394,1,2
SO61330,02/01/2017,19/11/2003,540,24394,1,1
SO61339,02/01/2017,17/11/2003,485,14409,1,1
SO61339,02/01/2017,07/10/2003,472,14409,1,2
SO61352,02/01/2017,02/10/2003,537,12135,1,1
SO61366,02/01/2017,16/10/2003,477,14185,7,2
SO61366,02/01/2017,09/12/2003,479,14185,7,3
SO61366,02/01/2017,05/09/2003,487,14185,7,4
SO61366,02/01/2017,24/11/2003,564,14185,7,1
SO61340,02/01/2017,19/10/2003,478,13737,1,2
SO61340,02/01/2017,17/12/2003,485,13737,1,1
SO61340,02/01/2017,04/09/2003,477,13737,1,3
SO61340,02/01/2017,02/10/2003,480,13737,1,4
SO61324,02/01/2017,09/10/2003,220,25445,8,2
SO61324,02/01/2017,29/11/2003,580,25445,8,1
SO61345,02/01/2017,07/09/2003,528,20135,8,2
SO61345,02/01/2017,13/11/2003,214,20135,8,3
SO61345,02/01/2017,06/12/2003,536,20135,8,1
SO61325,02/01/2017,01/12/2003,466,21683,10,3
SO61325,02/01/2017,15/11/2003,488,21683,10,2
SO61325,02/01/2017,05/12/2003,583,21683,10,1
SO61335,02/01/2017,23/11/2003,476,19864,1,1
SO61347,02/01/2017,13/11/2003,462,21816,8,2
SO61347,02/01/2017,05/11/2003,477,21816,8,1
SO61347,02/01/2017,28/11/2003,490,21816,8,3
SO61323,02/01/2017,06/11/2003,220,17848,8,2
SO61323,02/01/2017,08/11/2003,580,17848,8,1
SO61331,02/01/2017,01/10/2003,480,11262,6,3
SO61331,02/01/2017,23/09/2003,529,11262,6,2
SO61331,02/01/2017,16/11/2003,540,11262,6,1
SO61334,02/01/2017,16/09/2003,480,22239,1,2
SO61334,02/01/2017,18/12/2003,536,22239,1,1
SO61329,02/01/2017,28/10/2003,541,27065,1,1
SO61329,02/01/2017,01/11/2003,530,27065,1,2
SO61329,02/01/2017,06/09/2003,214,27065,1,3
SO61348,02/01/2017,11/12/2003,530,23919,7,2
SO61348,02/01/2017,06/11/2003,462,23919,7,3
SO61348,02/01/2017,10/10/2003,541,23919,7,1
SO61363,02/01/2017,21/10/2003,477,29201,1,2
SO61363,02/01/2017,06/09/2003,479,29201,1,3
SO61363,02/01/2017,30/09/2003,570,29201,1,1
SO61344,02/01/2017,02/10/2003,528,17816,7,1
SO61344,02/01/2017,05/09/2003,536,17816,7,2
SO61344,02/01/2017,11/09/2003,480,17816,7,3
SO61368,02/01/2017,24/10/2003,220,11904,9,2
SO61368,02/01/2017,12/12/2003,576,11904,9,1
SO61371,02/01/2017,15/09/2003,606,27515,9,1
SO61357,02/01/2017,23/09/2003,536,14581,1,2
SO61357,02/01/2017,04/09/2003,462,14581,1,5
SO61357,02/01/2017,28/10/2003,528,14581,1,3
SO61357,02/01/2017,21/11/2003,215,14581,1,4
SO61357,02/01/2017,17/11/2003,587,14581,1,1
